"SgnMonth","StdExMacroCICSI"
"2003-02","-1.42"
"2003-03","-1.82"
"2003-04","-1.99"
"2003-05","-1.16"
"2003-06","-1.59"
"2003-07","-1.72"
"2003-08","-1.82"
"2003-09","-2.09"
"2003-10","-2.05"
"2003-11","-2.20"
"2003-12","-1.69"
"2004-01","-1.43"
"2004-02","-1.56"
"2004-03","-0.67"
"2004-04","-0.92"
"2004-05","-1.30"
"2004-06","-1.83"
"2004-07","-1.69"
"2004-08","-2.04"
"2004-09","-2.37"
"2004-10","-1.87"
"2004-11","-2.30"
"2004-12","-2.16"
"2005-01","-2.24"
"2005-02","-2.45"
"2005-03","-2.26"
"2005-04","-1.71"
"2005-05","-2.02"
"2005-06","-2.46"
"2005-07","-1.99"
"2005-08","-2.37"
"2005-09","-1.72"
"2005-10","-1.82"
"2005-11","-2.49"
"2005-12","-2.29"
"2006-01","-2.39"
"2006-02","-2.10"
"2006-03","-2.07"
"2006-04","-1.81"
"2006-05","-1.20"
"2006-06","-0.18"
"2006-07","-0.85"
"2006-08","-1.10"
"2006-09","-1.46"
"2006-10","-1.40"
"2006-11","-1.07"
"2006-12","-0.52"
"2007-01","0.77"
"2007-02","0.80"
"2007-03","0.28"
"2007-04","1.25"
"2007-05","1.56"
"2007-06","1.70"
"2007-07","1.68"
"2007-08","1.87"
"2007-09","1.13"
"2007-10","1.80"
"2007-11","1.40"
"2007-12","0.30"
"2008-01","0.52"
"2008-02","0.35"
"2008-03","-0.56"
"2008-04","-0.03"
"2008-05","0.33"
"2008-06","-0.09"
"2008-07","-0.40"
"2008-08","-0.49"
"2008-09","-0.44"
"2008-10","-1.01"
"2008-11","-0.80"
"2008-12","-0.30"
"2009-01","-0.25"
"2009-02","-1.06"
"2009-03","0.28"
"2009-04","0.12"
"2009-05","0.24"
"2009-06","-0.18"
"2009-07","0.35"
"2009-08","1.11"
"2009-09","0.45"
"2009-10","1.34"
"2009-11","0.00"
"2009-12","0.69"
"2010-01","0.68"
"2010-02","0.16"
"2010-03","0.16"
"2010-04","1.43"
"2010-05","0.51"
"2010-06","0.36"
"2010-07","-0.08"
"2010-08","0.31"
"2010-09","0.47"
"2010-10","0.20"
"2010-11","0.76"
"2010-12","0.98"
"2011-01","0.20"
"2011-02","-0.16"
"2011-03","0.22"
"2011-04","0.32"
"2011-05","-0.01"
"2011-06","0.07"
"2011-07","0.21"
"2011-08","0.04"
"2011-09","-0.27"
"2011-10","-0.69"
"2011-11","-0.63"
"2011-12","-0.43"
"2012-01","-0.79"
"2012-02","-0.75"
"2012-03","-0.26"
"2012-04","-0.25"
"2012-05","-0.64"
"2012-06","-0.61"
"2012-07","-0.75"
"2012-08","-0.74"
"2012-09","-0.76"
"2012-10","-0.64"
"2012-11","-0.48"
"2012-12","-1.18"
"2013-01","-0.90"
"2013-02","-0.70"
"2013-03","-1.04"
"2013-04","-0.66"
"2013-05","-1.25"
"2013-06","-0.94"
"2013-07","-1.18"
"2013-08","-0.98"
"2013-09","-1.04"
"2013-10","-0.84"
"2013-11","-1.01"
"2013-12","-0.77"
"2014-01","0.03"
"2014-02","-0.45"
"2014-03","-0.66"
"2014-04","-0.65"
"2014-05","-1.05"
"2014-06","-0.77"
"2014-07","-0.52"
"2014-08","-0.34"
"2014-09","-0.07"
"2014-10","0.18"
"2014-11","-0.10"
"2014-12","0.45"
"2015-01","1.86"
"2015-02","0.90"
"2015-03","0.39"
"2015-04","1.81"
"2015-05","2.42"
"2015-06","2.12"
"2015-07","1.64"
"2015-08","0.99"
"2015-09","0.51"
"2015-10","-0.07"
"2015-11","1.86"
"2015-12","1.24"
"2016-01","0.43"
"2016-02","0.28"
"2016-03","0.11"
"2016-04","0.75"
"2016-05","0.32"
"2016-06","0.14"
"2016-07","0.46"
"2016-08","0.70"
"2016-09","0.66"
"2016-10","0.57"
"2016-11","0.65"
"2016-12","1.17"
"2017-01","0.96"
"2017-02","0.33"
"2017-03","0.93"
"2017-04","1.15"
"2017-05","0.72"
"2017-06","0.66"
"2017-07","0.63"
"2017-08","0.66"
"2017-09","1.00"
"2017-10","0.89"
"2017-11","0.67"
"2017-12","0.61"
"2018-01","0.24"
"2018-02","1.10"
"2018-03","-0.07"
"2018-04","0.56"
"2018-05","0.27"
"2018-06","0.09"
"2018-07","0.18"
"2018-08","-0.04"
"2018-09","-0.03"
"2018-10","-0.22"
"2018-11","-0.14"
"2018-12","0.45"
"2019-01","-0.05"
"2019-02","0.10"
"2019-03","0.26"
"2019-04","1.27"
"2019-05","0.86"
"2019-06","0.27"
"2019-07","1.04"
"2019-08","0.23"
"2019-09","1.07"
"2019-10","0.44"
"2019-11","0.37"
"2019-12","0.38"
"2020-01","0.49"
"2020-02","1.54"
"2020-03","0.91"
"2020-04","1.27"
"2020-05","0.75"
"2020-06","0.56"
"2020-07","3.31"
"2020-08","3.59"
"2020-09","2.45"
"2020-10","1.36"
"2020-11","1.02"
"2020-12","2.10"
"2021-01","1.47"
"2021-02","1.61"
"2021-03","2.08"
"2021-04","2.41"
"2021-05","1.22"
"2021-06","1.28"
"2021-07","2.02"
"2021-08","1.46"
"2021-09","1.49"
"2021-10","1.40"
"2021-11","1.38"
"2021-12","0.92"
"2022-01","1.05"
"2022-02","0.73"
"2022-03","0.68"
"2022-04","0.53"
"2022-05","-0.06"
"2022-06","0.52"
"2022-07","0.45"
"2022-08","0.78"
"2022-09","0.43"
"2022-10","0.03"
"2022-11","-0.08"
"2022-12","0.56"
"2023-01","-0.16"
"2023-02","0.05"
"2023-03","0.33"
"2023-04","0.62"
"2023-05","0.08"
"2023-06","0.12"
"2023-07","0.38"
"2023-08","0.20"
"2023-09","0.15"
