date,sehuixiaoshoue,maoyica,xiaofeizhishu,gudingzhicantouzibi,m1,m2
2000/2/1,2804.9,-40.52,110,8.6,15.3,12.8
2000/3/1,2626.6,424.27,110.4,8.5,18.7,13
2000/4/1,2571.5,125.03,110.6,9.3,21.7,13.7
2000/5/1,2636.9,68.74,111.1,9.5,22.3,12.7
2000/6/1,2645.2,140.23,111.2,12.1,23.7,13.7
2000/7/1,2596.9,-41.58,111.4,12.6,22.6,13.4
2000/8/1,2636.3,-47.9,111.8,12.7,21.9,13.3
2000/9/1,2854.3,-31.42,112.4,12.9,20.8,13.4
2000/10/1,3029.3,-13.77,112.5,12.6,18.2,12.3
2000/11/1,3107.8,-80.3,112.7,11.7,17.1,12.4
2000/12/1,3680,-79.69,112.9,9.7,16,12.3
2001/1/1,3332.8,-18.32,113.2,,16.8,13.5
2001/2/1,3047.1,-45.41,112.9,16.7,16.4,12
2001/3/1,2876.1,-2.91,113.2,15.1,17.4,13.2
2001/4/1,2820.9,-57.37,113.8,16.5,15,12.8
2001/5/1,2929.6,-36.51,113.4,17.6,13,12.1
2001/6/1,2908.7,-58.11,113.6,17.9,14.9,14.3
2001/7/1,2851.4,-6.44,114.5,18.4,11.9,13.5
2001/8/1,2889.4,-46.42,113.8,18.9,14.2,13.6
2001/9/1,3136.9,-5.56,113.5,18.2,12.3,16.4
2001/10/1,3347.3,1.62,113.4,17.4,12.3,12.9
2001/11/1,3421.7,523.52,113.1,16.3,11.4,17.6
2001/12/1,4033.3,269.41,113.3,13.7,12.7,14.4
2002/1/1,3596.1,119.69,113.1,,9.5,13.1
2002/2/1,3324.4,337.26,113.3,24.5,10.9,13
2002/3/1,3114.8,-42.12,113.4,26.1,10.1,14.4
2002/4/1,3052.2,6.52,113.3,27.1,11.5,14.1
2002/5/1,3202.1,10.56,113.3,25.8,14.6,14
2002/6/1,3158.8,265.91,113.5,24.4,12.8,14.7
2002/7/1,3096.6,19.42,113.5,24.1,17,14.4
2002/8/1,3143.7,61.65,113.4,24.2,14.6,15.5
2002/9/1,3422.4,-1.17,113.5,24.3,15.9,16.5
2002/10/1,3661.9,22.04,113.6,24.1,17.9,17
2002/11/1,3733.1,-21.84,113.9,23.4,18.5,16.6
2002/12/1,4404.4,49.46,113.8,17.4,16.8,16.8
2003/1/1,3907.4,-145.37,114,,19.5,19.3
2003/2/1,3706.4,-79.05,114.1,32.8,18.8,18.1
2003/3/1,3494.8,-134.94,113.9,31.6,20.1,18.5
2003/4/1,3406.9,3.47,103.5,30.5,18,19.2
2003/5/1,3463.3,0.95,100,31.7,18.8,20.2
2003/6/1,3576.9,-26.71,103.4,32.8,20.2,20.8
2003/7/1,3562.1,-28.11,106.4,32.7,20,20.7
2003/8/1,3609.6,27,108.2,32.4,18.8,21.6
2003/9/1,3971.8,-86.3,108.6,31.4,18.5,20.7
2003/10/1,4204.4,20.82,109.9,30.2,19.6,21
2003/11/1,4202.7,97.45,110.3,29.6,18.9,20.4
2003/12/1,4735.7,81.13,111.2,28.4,18.7,19.6
2004/1/1,4569.4,98.15,111.3,,15.7,18.1
2004/2/1,4211.4,-1264.5,111.1,53,19.8,19.4
2004/3/1,4049.8,-17.9,111.3,47.8,20.1,19.1
2004/4/1,4001.8,-322.39,110.8,42.8,20,19.1
2004/5/1,4166.1,-5.65,108,34.8,18.6,17.5
2004/6/1,4250.7,-13.88,105.1,31,16.2,16.2
2004/7/1,4209.2,27.38,106.3,31.1,15,15.3
2004/8/1,4262.7,60.7,105.9,30.3,15.1,13.6
2004/9/1,4717.7,1621.38,106.5,29.9,13.7,13.9
2004/10/1,4983.2,23.7,107.1,29.5,12.6,13.5
2004/11/1,4965.6,103.22,108.2,28.9,13.8,14
2004/12/1,5562.5,93.64,108.7,27.6,13.6,14.6
2005/1/1,5300.9,28334.78,109.1,,15.3,14.1
2005/2/1,5012.2,155.35,109.6,24.5,10.6,13.9
2005/3/1,4799.1,1161.67,110.1,25.3,9.9,14
2005/4/1,4663.3,303.59,110.5,25.7,10,14.1
2005/5/1,4899.2,327.19,110,26.4,10.4,14.7
2005/6/1,4935,425.12,110.4,27.1,11.3,15.7
2005/7/1,4934.9,418.69,110.1,27.2,11,16.3
2005/8/1,5040.8,135.92,110.3,27.4,11.5,17.3
2005/9/1,5495.2,51.64,110,27.7,11.6,17.9
2005/10/1,5846.6,69.41,109.3,27.6,12.1,18
2005/11/1,5909,6.43,109.2,27.8,12.7,18.3
2005/12/1,6850.4,-0.6,110,27.2,11.8,17.6
2006/1/1,6641.6,46.17,110.3,,10.6,19.2
2006/2/1,6001.9,-44.37,109.2,26.6,12.4,18.8
2006/3/1,5796.7,95.17,109.9,29.8,12.7,18.8
2006/4/1,5774.6,127.77,109.4,29.6,12.5,18.9
2006/5/1,6175.6,44.68,109.4,30.3,14,19.1
2006/6/1,6057.8,49.86,109.8,31.3,13.9,18.4
2006/7/1,6012.2,38.67,109.7,30.5,15.3,18.4
2006/8/1,6077.4,77.44,110.2,29.1,15.6,17.9
2006/9/1,6553.6,102.11,111.7,28.2,15.7,16.8
2006/10/1,6997.7,98.31,111.6,26.8,16.3,17.1
2006/11/1,6821.7,117.72,112,26.6,16.8,16.8
2006/12/1,7499.2,90.71,113.1,24.3,17.5,16.9
2007/1/1,7488.3,67.17,112.4,,19.8,15.8
2007/2/1,7013.7,881.48,111.8,23.4,21,17.8
2007/3/1,6685.8,-38.42,111,25.3,19.8,17.3
2007/4/1,6672.5,60.03,112.3,25.5,20,17.1
2007/5/1,7157.5,72.49,112.8,25.9,19.3,16.7
2007/6/1,7026,85.65,113.7,26.7,20.9,17.1
2007/7/1,6998.2,67.43,112.9,26.6,20.9,18.5
2007/8/1,7116.6,34.07,113.5,26.7,22.8,18.1
2007/9/1,7668.4,57.44,113.1,26.4,22.1,18.5
2007/10/1,8263,14.14,112.6,26.9,22.2,18.5
2007/11/1,8104.7,15.1,112,26.8,21.7,18.5
2007/12/1,9015.3,8.06,113.1,25.8,21,16.7
2008/1/1,9077.3,22.73,111.6,,20.5,18.9
2008/2/1,8354.7,-65.47,110,24.3,19,17.4
2008/3/1,8123.2,90.61,110.3,25.9,18,16.2
2008/4/1,8142,-0.74,109.7,25.7,19.1,16.9
2008/5/1,8703.5,-11.2,110,25.6,17.9,18.1
2008/6/1,8642,-22.47,109.8,26.8,14.2,17.4
2008/7/1,8628.8,3.85,110.2,27.3,14,16.4
2008/8/1,8767.7,16.62,109.3,27.4,11.5,16
2008/9/1,9446.5,24.41,108.9,27.6,9.4,15.3
2008/10/1,10082.7,31.57,107.9,27.2,8.9,15
2008/11/1,9790.8,52.82,105.2,26.8,6.8,14.8
2008/12/1,10728.5,71.93,101.8,26.6,9.1,17.8
2009/1/1,10756.6,100.84,101.3,,6.7,18.8
2009/2/1,9323.8,-41.49,101,26.5,10.9,20.5
2009/3/1,9317.6,39.86,100.3,28.6,17,25.5
2009/4/1,9343.2,-22.1,100.5,30.5,17.5,26
2009/5/1,10028.4,-34.56,101.2,32.9,18.7,25.7
2009/6/1,9941.6,-61.93,101,33.6,24.8,28.5
2009/7/1,9936.5,-59.72,102.1,32.9,26.4,28.4
2009/8/1,10115.6,-47.53,102.7,33,27.7,28.5
2009/9/1,10912.8,-57.73,102.8,33.3,29.5,29.3
2009/10/1,11717.6,-33.51,103.2,33.1,32,29.4
2009/11/1,11339,-52.97,103.3,32.1,36.6,29.7
2009/12/1,12610,-52.85,103.9,30.4,32.4,27.7
2010/1/1,12718.1,-64.31,104.7,,39,26
2010/2/1,12334.2,52.63,104.2,26.6,35,25.5
2010/3/1,11321.7,-140.33,107.9,26.4,29.9,22.5
2010/4/1,11510.4,-89.1,106.6,26.1,31.3,21.5
2010/5/1,12455.06,49.22,108,25.9,29.9,21
2010/6/1,12329.9,154.01,108.5,25.5,24.6,18.5
2010/7/1,12252.8,178.75,107.8,24.9,22.9,17.6
2010/8/1,12569.8,28.12,107.3,24.8,21.9,19.2
2010/9/1,13536.5,30.77,104.1,24.5,20.9,19
2010/10/1,14284.8,12.66,103.8,24.4,22.1,19.3
2010/11/1,13910.9,17.53,102.9,24.9,22.1,19.5
2010/12/1,15329.5,-31.44,100.4,24.5,21.2,19.7
2011/1/1,15249,-58.58,99.9,,13.6,17.2
2011/2/1,13769.1,-207.31,99.6,24.9,14.5,15.7
2011/3/1,13588,97.44,107.6,25,15,16.6
2011/4/1,13649,695.89,106.6,25.4,12.9,15.3
2011/5/1,14696.8,-33.52,105.8,25.8,12.7,15.1
2011/6/1,14565.1,9.94,108.1,25.6,13.1,15.9
2011/7/1,14408,5.58,105.6,25.4,11.6,14.7
2011/8/1,14705,-9.62,105,25,11.2,13.6
2011/9/1,15865.1,-11.94,103.4,24.9,8.9,13
2011/10/1,16546.4,-36.08,100.5,24.9,8.4,12.9
2011/11/1,16128.9,-34.22,97,24.5,7.8,12.7
2011/12/1,17739.7,30.55,100.5,23.8,7.9,13.6
2012/1/1,17222.1,367.21,103.9,,3.2,12.4
2012/2/1,,-306.48,105,21.5,4.3,13
2012/3/1,15650.2,2827.89,100,20.9,4.4,13.4
2012/4/1,15603.1,65.34,103,20.2,3.1,12.8
2012/5/1,16714.8,40.65,104.2,20.1,3.5,13.2
2012/6/1,16584.9,42.61,99.3,20.4,4.7,13.6
2012/7/1,16314.9,-16.04,98.2,20.4,4.6,13.9
2012/8/1,16658.9,47.96,99.4,20.2,4.5,13.5
2012/9/1,18226.6,88.29,100.8,20.5,7.3,14.8
2012/10/1,18933.8,87.17,106.1,20.7,6.1,14.1
2012/11/1,18476.7,32.85,105.1,20.7,5.5,13.9
2012/12/1,20334.2,88.28,103.7,20.6,6.5,13.8
2013/1/1,,3.98,104.5,,15.3,15.9
2013/2/1,,146.51,108.2,21.2,9.5,15.2
2013/3/1,17641.2,-117.48,102.6,20.9,11.8,15.7
2013/4/1,17600.3,-1.04,103.7,20.6,11.9,16.1
2013/5/1,18886.3,13.6,99,20.4,11.3,15.8
2013/6/1,18826.68,-13.85,97,20.1,9,14
2013/7/1,18513.16,-29.81,97.2,20.1,9.7,14.5
2013/8/1,18886.2,6.49,97.8,20.3,9.9,14.7
2013/9/1,20653.34,-46.28,99.8,20.2,8.9,14.2
2013/10/1,21491.3,-3.23,102.9,20.1,8.9,14.3
2013/11/1,21011.9,73.26,98.9,19.9,9.4,14.2
2013/12/1,23059.7,-18.59,102.3,19.6,9.3,13.6
2014/1/1,,14,101.1,,1.2,13.2
2014/2/1,,-251.64,103.1,17.9,6.9,13.3
2014/3/1,19800.55,981.31,107.9,17.6,5.4,12.1
2014/4/1,19701.2,1.64,104.8,17.3,5.5,13.2
2014/5/1,21249.8,75.42,102.3,17.2,5.7,13.4
2014/6/1,21166.45,16.97,104.7,17.3,8.9,14.7
2014/7/1,20775.79,166.66,104.4,17,6.7,13.5
2014/8/1,21133.93,77.29,103.8,16.5,5.7,12.8
2014/9/1,23042.43,111.57,105.4,16.1,4.8,12.9
2014/10/1,23967.24,47.25,103.4,15.9,3.2,12.6
2014/11/1,23474.7,62.25,105.5,15.8,3.2,12.3
2014/12/1,25801.31,97.85,105.8,15.7,3.2,12.2
2015/1/1,,85.23,105.7,,10.6,10.8
2015/2/1,,367.9,109.8,13.9,5.6,12.5
2015/3/1,22722.81,-68.49,107.1,13.5,2.9,11.6
2015/4/1,22386.71,77.89,107.6,12,3.7,10.1
2015/5/1,24194.82,57.71,109.9,11.4,4.7,10.8
2015/6/1,24280.27,41.71,105.5,11.4,4.3,11.8
2015/7/1,24338.78,-11.58,104.48,11.2,6.6,13.3
2015/8/1,24893.36,19.67,104,10.9,9.3,13.3
2015/9/1,25270.6,90.96,105.6,10.3,11.4,13.1
2015/10/1,28278.89,34.11,103.8,10.2,14,13.5
2015/11/1,27937.35,-1.44,104.1,10.2,15.7,13.7
2015/12/1,28634.6,19.46,103.7,10,15.2,13.3
2016/1/1,,-4.15,104,,18.6,14
2016/2/1,,-53.44,104.4,10.2,17.4,13.3
2016/3/1,25114.1,890.06,100,10.7,22.1,13.4
2016/4/1,24645.8,20.05,101,10.5,22.9,12.8
2016/5/1,26610.7,-21.54,99.8,9.6,23.7,11.8
2016/6/1,26857.4,0.32,102.9,9,24.6,11.8
2016/7/1,26827.4,15.47,106.8,8.1,25.4,10.2
2016/8/1,27539.6,-16.07,105.6,8.1,25.3,11.4
2016/9/1,27976.4,-32.17,104.6,8.2,24.7,11.5
2016/10/1,31119.2,-21.41,107.2,8.3,23.9,11.6
2016/11/1,30958.5,-20.18,108.6,8.3,22.7,11.4
2016/12/1,31756.8,-33.55,108.4,8.1,21.4,11.3
2017/1/1,,-14.38,109.2,,14.5,11.3
2017/2/1,,-138.86,112.6,8.9,21.4,11.1
2017/3/1,27863.7,-8.85,111,9.2,18.8,10.6
2017/4/1,27278.5,-8.4,113.4,8.9,18.5,10.5
2017/5/1,29459.2,-10.97,112,8.6,17,9.6
2017/6/1,29807.6,-9.1,113.3,8.6,15,9.4
2017/7/1,29609.8,-7.23,114.6,8.3,15.3,9.2
2017/8/1,30329.7,-20.06,114.7,7.8,14,8.9
2017/9/1,30870.3,-32.29,118.6,7.5,14,9.2
2017/10/1,34240.9,-23.39,123.9,7.3,13,8.8
2017/11/1,34108.2,-10.8,121.3,7.2,12.7,9.1
2017/12/1,34734.1,35.89,122.6,7.2,11.8,8.2
2018/1/1,,-62.37,122.3,,15,8.6
2018/2/1,,394.4,124,7.9,8.5,8.8
2018/3/1,29193.6,-125.52,122.3,7.5,7.1,8.2
2018/4/1,28541.9,-28.2,122.9,7,7.2,8.3
2018/5/1,30359.1,-41.35,122.9,6.1,6,8.3
2018/6/1,30841.6,-0.76,118.2,6,6.6,8
2018/7/1,30733.7,-38.71,119.7,5.5,5.1,8.5
2018/8/1,31542.3,-34.33,118.6,5.3,3.9,8.2
2018/9/1,32005.4,10.55,118.5,5.4,4,8.3
2018/10/1,35534.4,-10.64,119.1,5.7,2.7,8
2018/11/1,35259.7,8.91,122.1,5.9,1.5,8
2018/12/1,35893.5,5.48,123,5.9,1.5,8.1
2019/1/1,,109.28,123.7,,0.4,8.4
2019/2/1,,-90.81,126,6.1,2,8
2019/3/1,31725.7,641.37,124.1,6.3,4.6,8.6
2019/4/1,30586.1,-50.13,125.3,6.1,2.9,8.5
2019/5/1,32955.7,75.72,123.4,5.6,3.4,8.5
2019/6/1,33878.1,21.37,125.9,5.8,4.4,8.5
2019/7/1,33073.3,60.12,124.4,5.7,3.1,8.1
2019/8/1,33896.3,32.02,122.4,5.5,3.4,8.2
2019/9/1,34494.9,29.13,124.1,5.4,3.4,8.4
2019/10/1,38104.3,28.31,124.3,5.2,3.3,8.4
2019/11/1,38093.8,-11.19,124.6,5.2,3.5,8.2
2019/12/1,38776.7,-16.82,126.6,5.4,4.4,8.7
2020/1/1,,42.59,126.4,,0,8.4
2020/2/1,,-2195.03,118.9,-24.5,4.8,8.8
2020/3/1,26449.9,-36.34,122.2,-16.1,5,10.1
2020/4/1,28177.8,243.71,116.4,-10.3,5.5,11.1
2020/5/1,31972.8,49.76,115.8,-6.3,6.8,11.1
2020/6/1,33525.9,-10.01,112.6,-3.1,6.5,11.1
2020/7/1,32202.5,37.02,117.2,-1.6,6.9,10.7
2020/8/1,33570.6,64.48,116.4,-0.3,8,10.4
2020/9/1,35294.7,-9.56,120.5,0.8,8.1,10.9
2020/10/1,38576.5,35.49,121.7,1.8,9.1,10.5
2020/11/1,39514.2,99.72,124,2.6,10,10.7
2020/12/1,40566,60.41,122.1,2.9,8.6,10.1
2021/1/1,,12.33,122.8,,14.7,9.4
2021/2/1,,156.47,127,35,7.4,10.1
2021/3/1,35484.1,-42.15,122.2,25.6,7.1,9.4
2021/4/1,33152.6,-9.93,121.5,19.9,6.2,8.1
2021/5/1,35945.1,-30.48,121.8,15.4,6.1,8.3
2021/6/1,37585.8,10.65,122.8,12.6,5.5,8.6
2021/7/1,34925.1,-9.07,117.8,10.3,4.9,8.3
2021/8/1,34394.9,2.35,117.5,8.9,4.2,8.2
2021/9/1,36833,91.08,121.2,7.3,3.7,8.3
2021/10/1,40453.9,47.25,120.2,6.1,2.8,8.7
2021/11/1,41043.2,-4.02,119.5,5.2,3,8.5
2021/12/1,41268.9,22.98,119.8,4.9,3.5,9
2022/1/1,,29.15,121.5,,-1.9,9.8
2022/2/1,,-25.23,120.5,12.2,4.7,9.2
2022/3/1,34233.1,270.96,113.2,9.3,4.7,9.7
2022/4/1,29483.1,14.38,86.7,6.8,5.1,10.5
2022/5/1,33547,77.68,86.8,6.2,4.6,11.1
2022/6/1,38742.5,88.73,88.9,6.1,5.8,11.4
2022/7/1,35870.1,79.14,87.9,5.7,6.7,12
2022/8/1,36257.9,31.74,87,5.8,6.1,12.2
2022/9/1,37744.9,21.64,87.2,5.9,6.4,12.1
2022/10/1,40270.5,-3.2,86.8,5.8,5.8,11.8
2022/11/1,38615.1,-7.69,85.5,5.3,4.6,12.4
2022/12/1,40542.3,-25.96,88.3,5.1,3.7,11.8
2023/1/1,,15.83,91.2,,6.7,12.6
2023/2/1,,-54.08,94.7,5.5,5.8,12.9
2023/3/1,37855.4,79.85,94.9,5.1,5.1,12.7
2023/4/1,34910.5,83.72,87.1,4.7,5.3,12.4
2023/5/1,37803.3,-14.4,88.2,4,4.7,11.6
2023/6/1,39951.4,-25.45,86.4,3.8,3.1,11.3
2023/7/1,36760.7,-19.18,86.4,3.4,2.3,10.7
2023/8/1,37932.7,-12.7,86.5,3.2,2.2,10.6
2023/9/1,39826,-8.56,87.2,3.1,2.1,10.3
2023/10/1,43333,-31.63,87.9,2.9,1.9,10.3
2023/11/1,42505,4.99,87,2.9,1.3,10
2023/12/1,43550.2,8.29,87.6,3,1.3,9.7
2024/1/1,,-7.85,88.9,,5.9,8.7
2024/2/1,,226.69,89.1,4.2,1.2,8.7
2024/3/1,39019.9,-24.19,89.4,4.5,1.1,8.3
2024/4/1,35699.1,-15.06,88.2,4.2,-1.4,7.2
2024/5/1,39211,26.81,,4,-4.2,7
